"Nome da campanha","Nome do conjunto de anúncios","Nome da conta","Nome do anúncio",Dia,Plataforma,Posicionamento,"Plataforma do dispositivo","Veiculação do anúncio",Alcance,Impressões,"Cliques (todos)",Moeda,"CPC (todos)","Valor usado (BRL)",Início,Término,Frequência,Compras,"Custo por compra","Valor de conversão da compra","Cliques no link","CPC (custo por clique no link)","CPM (custo por 1.000 impressões)","CTR (todos)",Visualizações,"Configuração de atribuição","Taxa de compras por visualizações da página de destino","Taxa de compras por cliques no link","Taxa de visualizações da página de destino por cliques no link","Custo por 1.000 contas da Central de Contas alcançadas","Veiculação do conjunto de anúncios","Veiculação da campanha","CTR (taxa de cliques no link)","Adições ao carrinho","Orçamento da campanha","Tipo de orçamento da campanha","Nome da campanha","URL do site","Início dos relatórios","Término dos relatórios"
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-20,facebook,Feed,mobile_app,active,129,142,8,BRL,0.41257526,3.30060206,2025-12-28,Contínuo,1.10077519,1,3.30060206,159.6,1,3.30060206,23.24367651,5.63380282,137,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,25.58606251,active,active,0.70422535,1,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-20,2026-03-20
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-20,facebook,Feed,desktop,active,19,20,1,BRL,0.24727638,0.24727638,2025-12-28,Contínuo,1.05263158,,,,,,12.36381881,5,19,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,13.01454611,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-20,2026-03-20
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-20,facebook,"Facebook Reels",mobile_app,active,9,11,0,BRL,,0.45154817,2025-12-28,Contínuo,1.22222222,,,,,,41.04983319,0,11,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,50.17201835,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-20,2026-03-20
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-20,instagram,Explorar,mobile_app,active,1,1,0,BRL,,0,2025-12-28,Contínuo,1,,,,,,0,0,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,0,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-20,2026-03-20
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-20,facebook,Feed,mobile_web,active,1,1,0,BRL,,0,2025-12-28,Contínuo,1,,,,,,0,0,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,0,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-20,2026-03-20
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-20,instagram,Feed,desktop,active,1,1,0,BRL,,0.01075115,2025-12-28,Contínuo,1,,,,,,10.75114679,0,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,10.75114679,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-20,2026-03-20
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-20,instagram,"Instagram Reels",mobile_app,active,1,1,0,BRL,,0,2025-12-28,Contínuo,1,,,,,,0,0,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,0,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-20,2026-03-20
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-20,facebook,"Facebook Stories",mobile_app,active,1,1,0,BRL,,0.20427179,2025-12-28,Contínuo,1,,,,,,204.27178899,0,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,204.27178899,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-20,2026-03-20
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-20,facebook,"Facebook Reels",mobile_web,active,1,1,0,BRL,,0.01075115,2025-12-28,Contínuo,1,,,,,,10.75114679,0,1,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,10.75114679,active,active,,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-20,2026-03-20
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-20,instagram,"Instagram Stories",mobile_app,active,12,12,2,BRL,0.10213589,0.20427179,2025-12-28,Contínuo,1,,,,1,0.20427179,17.02264908,16.66666667,12,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,17.02264908,active,active,8.33333333,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-20,2026-03-20
"VND | BR | CORE","SET | CAT | MAIS VENDIDAS","Conta de Anúncios OMD","SET | CAT | CAMISETAS 30.1",2026-03-20,instagram,Feed,mobile_app,active,436,468,9,BRL,1.59116972,14.32052752,2025-12-28,Contínuo,1.0733945,,,,8,1.79006594,30.59941778,1.92307692,451,"Clique de 7 dias, visualização de 1 dia ou visualização com engajamento de 1 dia",,,,32.84524661,active,active,1.70940171,,35,Diário,"VND | BR | CORE",https://www.ohmydogloja.com/ohmydog/products?assortment=sales&product_type=1,2026-03-20,2026-03-20
